name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Morning Run,2020-08-04T05:28:36Z,Run,6134.0,2201,00:39:46,51.0,,,2.787,05:28:36,2020-08-04,2020-08-03,3.8123,167.32,00:36:41,09:37,6.23
Afternoon Run,2020-08-03T17:46:52Z,Run,6187.0,2067,00:49:03,15.0,,,2.9930000000000003,17:46:52,2020-08-03,2020-08-03,3.8452,49.21,00:34:27,08:57,6.7
Shakeout ride pulling Riv,2020-08-02T14:57:04Z,Ride,17038.0,3198,00:55:46,81.0,114.3,147.0,5.327999999999999,14:57:04,2020-08-02,2020-07-27,10.5892,265.75,00:53:18,,11.92
Marathon Training Run. 40(?) Min PR. Ooph! @runforrivs,2020-08-01T05:16:29Z,Run,42184.0,11137,03:15:46,147.0,167.0,201.0,3.7880000000000003,05:16:29,2020-08-01,2020-07-27,26.2175,482.28,03:05:37,07:04,8.47
Morning Run,2020-07-30T05:29:54Z,Run,6816.0,2275,00:42:56,69.0,,,2.9960000000000004,05:29:54,2020-07-30,2020-07-27,4.2362,226.38,00:37:55,08:57,6.7
Afternoon Run,2020-07-29T17:30:31Z,Run,10889.0,3300,01:07:00,36.0,,,3.3,17:30:31,2020-07-29,2020-07-27,6.7676,118.11,00:55:00,08:07,7.38
"Tempo Day: 3 mi Wu, 4 mi tempo @ 5:57 avg, 2 mi cd",2020-07-28T05:08:16Z,Run,14507.0,4026,01:09:38,51.0,154.4,188.0,3.603,05:08:16,2020-07-28,2020-07-27,9.0162,167.32,01:07:06,07:26,8.06
Morning Run,2020-07-27T05:16:34Z,Run,9984.0,3351,00:57:34,72.0,129.5,159.0,2.9789999999999996,05:16:34,2020-07-27,2020-07-27,6.2051,236.22,00:55:51,09:00,6.66
Krupp Farms Pt. II: Raspberry Edition,2020-07-25T05:43:20Z,Run,27843.0,7782,02:12:46,156.0,158.9,198.0,3.5780000000000003,05:43:20,2020-07-25,2020-07-20,17.3045,511.81,02:09:42,07:29,8.0
Stretch? Who actually stretches...,2020-07-24T05:07:26Z,Run,4020.0,1473,00:26:34,21.0,120.8,133.0,2.7289999999999996,05:07:26,2020-07-24,2020-07-20,2.4984,68.9,00:24:33,09:49,6.1
Legs were feeling rough. Watch stopped 1 mile early.,2020-07-23T05:09:02Z,Run,9050.0,3139,00:55:17,36.0,,,2.883,05:09:02,2020-07-23,2020-07-20,5.6246,118.11,00:52:19,09:18,6.45
Evening Run,2020-07-22T19:53:30Z,Run,9772.0,2814,00:47:14,64.0,,,3.4730000000000003,19:53:30,2020-07-22,2020-07-20,6.0733,209.97,00:46:54,07:43,7.77
4 Mile Tempo + Wu/cd,2020-07-21T04:59:07Z,Run,13292.0,3781,01:07:13,42.0,153.2,188.0,3.515,04:59:07,2020-07-21,2020-07-20,8.261,137.8,01:03:01,07:37,7.86
Lunch Run,2020-07-20T12:29:55Z,Run,9701.0,2819,00:47:21,42.0,,,3.4410000000000003,12:29:55,2020-07-20,2020-07-20,6.0292,137.8,00:46:59,07:47,7.7
Morning Trudge. Good morning!,2020-07-18T05:10:23Z,Run,30988.0,8949,02:31:32,183.0,,,3.463,05:10:23,2020-07-18,2020-07-13,19.2592,600.39,02:29:09,07:44,7.75
